"Series","Indicator.Name","value"
"SE.LPV.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","90.29706"
"SE.LPV.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","90.29706"
"SE.LPV.PRIM.BMP","Proficiency by End of Primary","11.28"
"SE.LPV.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS","11.28"
"SE.PRM.ATTD","Student Attendance","78.32138"
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit","78.32138"
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female","78.78357"
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male","76.31752"
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural","76.9104"
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban","78.53606"
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing","4.3725"
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.","4.3725"
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending","5"
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest","3.48"
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest","4.01"
"SE.PRM.BFIN.5","(Financing) - Equity","-999"
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making","3.225587"
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","3.225587"
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management","2.890374"
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making","3.389493"
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation","2.631016"
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators","4.273743"
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability","3.829301"
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","3.829301"
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence","3.599638"
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency","3.956989"
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials","3.903226"
"SE.PRM.BNLG","Politics & Bureaucratic Capacity - National Learning Goals","3.439087"
"SE.PRM.BNLG.1","Average score for National Learning Goals; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","3.439087"
"SE.PRM.BNLG.2","(National Learning Goals) Average score for targeting","3.887097"
"SE.PRM.BNLG.3","(National Learning Goals) Average score for monitoring","3.487522"
"SE.PRM.BNLG.4","(National Learning Goals) Average score for incentives","2.848566"
"SE.PRM.BNLG.5","(National Learning Goals) Average score for community engagement","3.523297"
"SE.PRM.BQBR","Politics & Bureaucratic Capacity - Characteristics of Bureaucracy","3.753525"
